time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-16T07:35:39.035Z,49.4132,155.6615,59.56,5.1,mww,,118,3.915,1.47,us,us70007r85,2020-02-16T07:55:38.040Z,"144km SSW of Severo-Kuril'sk, Russia",earthquake,7.4,5.9,0.08,15,reviewed,us,us
2020-02-15T23:59:55.339Z,55.8565,162.5189,34.12,4.5,mb,,137,3.627,0.56,us,us70007r42,2020-02-16T01:25:49.040Z,"41km S of Ust'-Kamchatsk Staryy, Russia",earthquake,9.9,4.1,0.057,89,reviewed,us,us
2020-02-15T23:00:28.242Z,-3.3946,131.4798,18.8,5.6,mww,,20,0.901,1.25,us,us70007r1x,2020-02-16T23:02:42.577Z,"278km S of Sorong, Indonesia",earthquake,6.2,3.8,0.068,21,reviewed,us,us
2020-02-15T21:23:41.148Z,25.0429,-109.6635,10,4.5,mb,,132,1.375,0.87,us,us70007r0d,2020-02-16T16:46:31.415Z,"87km SW of Topolobampo, Mexico",earthquake,7.6,1.9,0.078,49,reviewed,us,us
2020-02-15T20:28:21.921Z,29.4224,104.6424,10,4.5,mb,,58,4.3,0.89,us,us70007r02,2020-02-16T14:04:16.093Z,"10km NW of Gongjing, China",earthquake,7.4,1.9,0.104,27,reviewed,us,us
2020-02-15T19:20:13.192Z,23.8176,121.6003,11.31,5.1,mb,,77,0.354,0.79,us,us70007qzb,2020-02-16T13:59:31.733Z,"17km S of Hualian, Taiwan",earthquake,3.1,3.5,0.05,134,reviewed,us,us
2020-02-15T18:52:49.957Z,40.8537,144.9408,29.34,4.5,mb,,82,3.696,0.73,us,us70007qz1,2020-02-15T19:34:58.040Z,"240km SSE of Kushiro, Japan",earthquake,8.3,5.3,0.061,86,reviewed,us,us
2020-02-15T16:50:43.774Z,2.8813,127.1735,10,4.8,mb,,176,2.104,1.18,us,us70007qxh,2020-02-15T17:10:51.040Z,"157km NW of Tobelo, Indonesia",earthquake,11.1,1.9,0.144,15,reviewed,us,us
2020-02-15T15:36:41.443Z,1.601,126.5726,10,5.4,mww,,99,1.144,1.24,us,us70007qwf,2020-02-16T15:39:09.622Z,"126km NW of Kota Ternate, Indonesia",earthquake,7,1.9,0.08,15,reviewed,us,us
2020-02-15T13:49:46.252Z,40.1519,50.4296,10,4.6,mb,,93,4.359,0.84,us,us70007qvu,2020-02-16T10:38:28.342Z,"26km SSE of Zyrya, Azerbaijan",earthquake,8.3,1.9,0.079,48,reviewed,us,us
2020-02-15T11:05:00.061Z,23.8297,121.6061,2.53,5.2,mb,,77,0.342,1.09,us,us70007qu3,2020-02-15T13:54:27.705Z,"16km S of Hualian, Taiwan",earthquake,3.1,4.4,0.051,127,reviewed,us,us
2020-02-15T11:00:06.220Z,23.8442,121.5392,10,5.7,mb,,35,0.332,1.05,us,us70007qtx,2020-02-17T15:26:29.425Z,"16km SSW of Hualian, Taiwan",earthquake,4.3,1.8,0.03,395,reviewed,us,us
2020-02-15T09:45:57.351Z,3.5671,126.7298,46.66,4.7,mb,,91,2.848,0.65,us,us70007qt5,2020-02-15T10:01:39.040Z,"246km SE of Sarangani, Philippines",earthquake,8.1,7.3,0.086,41,reviewed,us,us
2020-02-15T09:39:16.063Z,-15.7057,179.8396,10,5.2,mb,,66,2.653,0.96,us,us70007qt0,2020-02-15T19:16:29.559Z,"92km NNE of Lambasa, Fiji",earthquake,8.7,1.9,0.043,180,reviewed,us,us
2020-02-15T07:06:00.309Z,49.8977,155.7006,103.48,4.5,mb,,125,3.449,0.77,us,us70007qrk,2020-02-15T09:43:13.040Z,"92km SSW of Severo-Kuril'sk, Russia",earthquake,4.9,8.3,0.096,32,reviewed,us,us
2020-02-15T05:57:05.798Z,20.113,121.3866,26.82,4.9,mb,,68,2.706,0.74,us,us70007qql,2020-02-15T06:18:27.040Z,"56km WSW of Sabtang, Philippines",earthquake,7.9,5.2,0.049,133,reviewed,us,us
2020-02-15T03:31:56.276Z,41.7969,79.2784,10,5.1,mb,,65,0.959,1.1,us,us70007qp2,2020-02-15T03:51:26.040Z,"99km SE of Teploklyuchenka, Kyrgyzstan",earthquake,4.3,1.8,0.049,134,reviewed,us,us
